"Times","SoundPressure1","OffsetPressure1","SoundPressure2","OffsetPressure2"
0.0568,2.694,0.006,2.670,0.009
0.0569,2.687,-0.001,2.661,-0.001
0.0570,2.687,-0.001,2.657,-0.005
0.0571,2.692,0.003,2.665,0.004
0.0572,2.683,-0.005,2.658,-0.004
0.0573,2.689,0.001,2.659,-0.002
0.0574,2.688,0.000,2.663,0.001
0.0575,2.685,-0.004,2.657,-0.005
0.0576,2.692,0.003,2.663,0.001
0.0577,2.692,0.003,2.669,0.007
0.0578,2.682,-0.006,2.653,-0.008
0.0579,2.686,-0.003,2.659,-0.002
0.0580,2.693,0.005,2.670,0.009
0.0581,2.692,0.003,2.664,0.003
0.0582,2.692,0.003,2.667,0.005
0.0583,2.691,0.002,2.667,0.005
0.0584,2.687,-0.001,2.657,-0.005
0.0585,2.692,0.003,2.665,0.004
0.0586,2.685,-0.004,2.661,-0.001
0.0587,2.687,-0.001,2.657,-0.005
0.0588,2.692,0.003,2.661,-0.001
0.0589,2.687,-0.001,2.664,0.003
0.0590,2.692,0.003,2.663,0.001
0.0591,2.697,0.008,2.670,0.009
0.0592,2.687,-0.001,2.661,-0.001
0.0593,2.687,-0.001,2.656,-0.006
0.0594,2.687,-0.001,2.661,-0.001
0.0595,2.681,-0.008,2.654,-0.007
0.0596,2.692,0.003,2.661,-0.001
0.0597,2.693,0.005,2.667,0.005
0.0598,2.688,0.000,2.659,-0.002
0.0599,2.694,0.006,2.663,0.001
0.0600,2.689,0.001,2.665,0.004
0.0601,2.689,0.001,2.663,0.001
0.0602,2.689,0.001,2.663,0.001
0.0603,2.687,-0.001,2.664,0.003
0.0604,2.683,-0.005,2.653,-0.008
0.0605,2.692,0.003,2.665,0.004
0.0606,2.692,0.003,2.665,0.004
0.0607,2.688,0.000,2.659,-0.002
0.0608,2.689,0.001,2.665,0.004
0.0609,2.683,-0.005,2.663,0.001
0.0610,2.688,0.000,2.659,-0.002
0.0611,2.691,0.002,2.667,0.005
0.0612,2.681,-0.008,2.658,-0.004
0.0613,2.691,0.002,2.663,0.001
0.0614,2.692,0.003,2.665,0.004
0.0615,2.686,-0.003,2.658,-0.004
0.0616,2.691,0.002,2.663,0.001
0.0617,2.697,0.008,2.669,0.007
0.0618,2.686,-0.003,2.653,-0.008
0.0619,2.687,-0.001,2.659,-0.002
0.0620,2.689,0.001,2.665,0.004
0.0621,2.689,0.001,2.659,-0.002
0.0622,2.687,-0.001,2.658,-0.004
0.0623,2.683,-0.005,2.661,-0.001
0.0624,2.687,-0.001,2.658,-0.004
0.0625,2.692,0.003,2.663,0.001
0.0626,2.692,0.003,2.669,0.007
